Parafia	Miejscowość	Adres	Diecezja	Dekanat	Województwo
Chrystusa Króla	Skarżyn	Chrystusa Króla|Skarżyn 10|12-205 Skarżyn	ełcka	św. Antoniego Padewskiego	
Chrystusa Króla	Suwałki	Chrystusa Króla|ul. Jana Pawła II nr 3|16-400 Suwałki|woj. podlaskie	ełcka	Suwałki - św. Benedykta i Romualda	podlaskie
Chrystusa Króla	Radzieje	Chrystusa Króla|ul. Węgorzewska 17|11-620 Radzieje	ełcka	Węgorzewo - św. Huberta	
Chrystusa Króla	Gdańsk	Chrystusa Króla|ul. Błog. Ks. F. Rogaczewskiego 55|80-804 Gdańsk|woj. pomorskie	gdańska	Gdańsk Śródmieście	pomorskie
Chrystusa Króla	Gdynia	Chrystusa Króla|Gdynia Mały Kack ul. Halicka 6a|81-506 Gdynia|woj. pomorskie	gdańska	Gdynia Orłowo	pomorskie
Chrystusa Króla	Wejcherowo	Chrystusa Króla|Wejherowo ul. Narutowicza 2|84-200 Wejcherowo|woj. pomorskie	gdańska	Wejcherowo	pomorskie
Chrystusa Króla	Bytom Stolarzowice	Chrystusa Króla|ul. Suchogórska 127|41-936 Bytom Stolarzowice|woj. śląskie	gliwicka	Bytom Miechowice	śląskie
Chrystusa Króla	Gliwice	Chrystusa Króla|ul. Okrzei 31|44-100 Gliwice|woj. śląskie	gliwicka	Gliwice Sośnica	śląskie
Chrystusa Króla	Świerklaniec	Chrystusa Króla|ul. Kościelna 33|42-622 Świerklaniec|woj. śląskie	gliwicka	Żyglin	śląskie
Chrystusa Króla	Gąski	Chrystusa Króla|Gąski 63a|88-140 Gąski|woj. kujawsko-pomorskie	gnieźnieńska	gniewkowski	kujawsko-pomorskie
Chrystusa Króla	Marszałki	Chrystusa Króla|Marszałki 15a|63-520 Marszałki|woj. wielkopolskie	kaliska	grabowski	wielkopolskie
Chrystusa Króla	Jarocin	Chrystusa Króla|ul. Paderewskiego 9|63-200 Jarocin|woj. wielkopolskie	kaliska	jarociński	wielkopolskie
Chrystusa Króla	Bogdaj	Chrystusa Króla|Bogdaj 8|63-433 Bogdaj	kaliska	odolanowski	
Chrystusa Króla	Chojnik	Chrystusa Króla|Chojnik 36|63-435 Sośnie Chojnik|woj. wielkopolskie	kaliska	odolanowski	wielkopolskie
Chrystusa Króla	Sadowie	Chrystusa Króla|Sadowie 52|63-400 Sadowie|woj. wielkopolskie	kaliska	ostrowski I	wielkopolskie
Chrystusa Króla	Ostrzeszów	Chrystusa Króla|ul. Zamkowa 14|63-500 Ostrzeszów|woj. wielkopolskie	kaliska	ostrzeszowski	wielkopolskie
Chrystusa Króla	Czyżowice	Chrystusa Króla|ul. Wiejska 6|44-352 Czyżowice|woj. śląskie	katowicka	Gorzyce Śląskie	śląskie
Chrystusa Króla	Krajno	Chrystusa Króla|Krajno Parcele 27|26-008 Krajno|woj. świętokrzyskie	kielecka	Bodzentyn	świętokrzyskie
Chrystusa Króla	Kielce Baranówek	Chrystusa Króla|ul. Jana III Sobieskiego 51|25-130 Kielce Baranówek|woj. świętokrzyskie	kielecka	Kielce-Południe	świętokrzyskie
Chrystusa Króla	Suliszewo	Chrystusa Króla|Suliszewo 71|78-500 Suliszewo|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Drawsko Pomorskie	zachodniopomorskie
Chrystusa Króla	Korzystno	Chrystusa Króla|ul. Kościelna 7|78-132 Korzystno|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Kołobrzeg	zachodniopomorskie
Chrystusa Króla	Biesiekierz	Chrystusa Króla|Biesiekierz 53|76-039 Biesiekierz|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Mielno	zachodniopomorskie
Chrystusa Króla	Lubno	Chrystusa Króla|Lubno 31|78-600 Lubno|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Mirosławiec	zachodniopomorskie
Chrystusa Króla	Kraków-Przegorzały	Chrystusa Króla|ul. Zaskale 1|30-250 Kraków-Przegorzały|woj. małopolskie	krakowska	Kraków-Salwator	małopolskie
Chrystusa Króla	Os. Gotyk	Chrystusa Króla|Al. 29 Listopada 195|31-241 Os. Gotyk|woj. małopolskie	krakowska	Kraków-Prądnik	małopolskie
Chrystusa Króla	Lgota	Chrystusa Króla|ul. Kościelna 14|32-543 Lgota|woj. małopolskie	krakowska	Trzebinia	małopolskie
Chrystusa Króla	Bolesławiec	Chrystusa Króla|ul. Jana Pawła II 20a|59-700 Bolesławiec|woj. dolnośląskie	legnicka	Bolesławiec Wschód	dolnośląskie
Chrystusa Króla	Janowice Wielkie	Chrystusa Króla|ul. Partyzantów 5|58-520 Janowice Wielkie|woj. dolnośląskie	legnicka	Jelenia Góra Wschód	dolnośląskie
Chrystusa Króla	Osiek	Chrystusa Króla|ul. Św. Katarzyny 73 A|59-300 Osiek|woj. dolnośląskie	legnicka	Lubin Wschód	dolnośląskie
Chrystusa Króla	Dłużyce	Chrystusa Króla|Dłużyce 16|59-330 Dłużyce|woj. dolnośląskie	legnicka	Ścinawa	dolnośląskie
Chrystusa Króla	Dłużyna Dolna	Chrystusa Króla|Dłużyna Dolna 67|59-930 Dłużyna Dolna|woj. dolnośląskie	legnicka	Węgliniec	dolnośląskie
Chrystusa Króla	Olsztyn	Chrystusa Króla|ul. Wyspiańskiego 5|10-287 Olsztyn|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztyn II - Zatorze	warmińsko-mazurskie
Chrystusa Króla	Nowy Świętów	Chrystusa Króla|Nowy Świętów 57|48-330 Nowy Świętów|woj. opolskie	opolska	Głuchołazy	opolskie
Chrystusa Króla	Bażany	Chrystusa Króla|ul. Kościelna 1|46-243 Bażany|woj. opolskie	opolska	Kluczbork	opolskie
Chrystusa Króla	Zapceń	Chrystusa Króla|Zapceń|77-130 Zapceń|woj. pomorskie	pelplińska	Boryszkowy	pomorskie
Chrystusa Króla	Poznań	Chrystusa Króla|ul. Ostatnia 14|60-102 Poznań|woj. wielkopolskie	poznańska	Poznań-Łazarz	wielkopolskie
Chrystusa Króla	Rokietnica	Chrystusa Króla|ul. Szamotulska 30 a|62-090 Rokietnica|woj. wielkopolskie	poznańska	Szamotuły	wielkopolskie
Chrystusa Króla	Chojno n. Wartą	Chrystusa Króla|64-513 Chojno n. Wartą|woj. wielkopolskie	poznańska	Wronki	wielkopolskie
Chrystusa Króla	Jarosław	Chrystusa Króla|ul. 3 Maja 49|37-500 Jarosław|woj. podkarpackie	przemyska (łac)	Jarosław II	podkarpackie
Chrystusa Króla	Przeworsk	Chrystusa Króla|ul. Kościelna 7|37-200 Przeworsk|woj. podkarpackie	przemyska (łac)	Przeworsk II	podkarpackie
Chrystusa Króla	Sanok	Chrystusa Króla|ul. Jana Pawła II 55|38-500 Sanok|woj. podkarpackie	przemyska (łac)	Sanok I	podkarpackie
Chrystusa Króla	Radom	Chrystusa Króla|ul. Orląt Lwowskich 9|26-600 Radom|woj. mazowieckie	radomska	Radom-Północ	mazowieckie
Chrystusa Króla	Jasło	Chrystusa Króla|ul. Dolna 33|38-200 Jasło|woj. podkarpackie	rzeszowska	Jasło-Wschód	podkarpackie
Chrystusa Króla	Rzeszów	Chrystusa Króla|ul. Ks. J. Jałowego 37|35-010 Rzeszów|woj. podkarpackie	rzeszowska	Rzeszów-Fara	podkarpackie
Chrystusa Króla	Niedźwiada	Chrystusa Króla|Niedźwiada 124|39-107 Niedźwiada|woj. podkarpackie	rzeszowska	Wielopole Skrzyńskie	podkarpackie
Chrystusa Króla	Tarnobrzeg	Chrystusa Króla|al. Niepodległości 9|39-400 Tarnobrzeg|woj. podkarpackie	sandomierska	Tarnobrzeg-Południe	podkarpackie
Chrystusa Króla	Świnoujście	Chrystusa Króla|pl. Kościelny 1|72-600 Świnoujście|woj. zachodniopomorskie	szczecińsko-kamieńska	Świnoujście	zachodniopomorskie
Chrystusa Króla	Góra Motyczna	Chrystusa Króla|Góra Motyczna 142|39-204 Góra Motyczna|woj. podkarpackie	tarnowska	Dębica-Wschód	podkarpackie
Chrystusa Króla	Siedliska Tuchowskie	Chrystusa Króla|Siedliska Tuchowskie 228|33-172 Siedliska Tuchowskie|woj. małopolskie	tarnowska	Tuchów	małopolskie
Chrystusa Króla	Jabłonowo Pomorskie	Chrystusa Króla|ul. Kościelna 8|87-330 Jabłonowo Pomorskie|woj. kujawsko-pomorskie	toruńska	Jabłonowo Pomorskie	kujawsko-pomorskie
Chrystusa Króla	Lisnowo	Chrystusa Króla|86-342 Lisnowo|woj. kujawsko-pomorskie	toruńska	Radzyń Chełmiński	kujawsko-pomorskie
Chrystusa Króla	Toruń	Chrystusa Króla|ul. Bażyńskich 19|87-100 Toruń|woj. kujawsko-pomorskie	toruńska	Toruń I	kujawsko-pomorskie
Chrystusa Króla	Warszawa	Chrystusa Króla|ul. Tykocińska 27/35|03-545 Warszawa|woj. mazowieckie	warszawsko-praska	Warszawa-Praga	mazowieckie
Chrystusa Króla	Brzeg Dolny	Chrystusa Króla|ul. Naborowska 5|56-120 Brzeg Dolny|woj. dolnośląskie	wrocławska	Brzeg Dolny	dolnośląskie
Chrystusa Króla	Jemielno	Chrystusa Króla|Jemielno 14|56-209 Jemielno|woj. dolnośląskie	wrocławska	Góra Śląska-Wschód	dolnośląskie
Chrystusa Króla	Wrocław	Chrystusa Króla|ul. Młodych Techników 17|53-647 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Śródmieście	dolnośląskie
Chrystusa Króla	Biłgoraj	Chrystusa Króla|ul. Polna 32|23-400 Biłgoraj|woj. lubelskie	zamojsko-lubaczowska	Biłgoraj-Północ	lubelskie
Chrystusa Króla	Huta Różaniecka	Chrystusa Króla|Huta Różaniecka|37-613 Huta Różaniecka|woj. podkarpackie	zamojsko-lubaczowska	Narol	podkarpackie
Chrystusa Króla	Złojec	Chrystusa Króla|Złojec 227|22-413 Złojec|woj. lubelskie	zamojsko-lubaczowska	Sitaniec	lubelskie
Chrystusa Króla	Gorzów Wielkopolski	Chrystusa Króla|ul. Woskowa 1b|66-400 Gorzów Wielkopolski|woj. lubuskie	zielonogórsko-gorzowska	Gorzów Wielkopolski-Chrystusa Króla	lubuskie
Chrystusa Króla	Tuplice	Chrystusa Króla|ul. Świerczewskiego 14|68-219 Tuplice|woj. lubuskie	zielonogórsko-gorzowska	Łęknica	lubuskie
Chrystusa Króla	Templewo	Chrystusa Króla|Templewo 29|66-350 Templewo|woj. lubuskie	zielonogórsko-gorzowska	Pszczew	lubuskie
Chrystusa Króla	Smolno Wielkie	Chrystusa Króla|Smolno Wielkie 22|66-120 Smolno Wielkie|woj. lubuskie	zielonogórsko-gorzowska	Sulechów	lubuskie
Chrystusa Króla	Łódź	Chrystusa Króla|ul. Sandomierska 11|94-010 Łódź|woj. łódzkie	łódzka	Łódź-Retkina	łódzkie
Chrystusa Króla	Pabianice	Chrystusa Króla|ul. Karniszewicka 99|95-200 Pabianice|woj. łódzkie	łódzka	Pabianice	łódzkie
Chrystusa Króla	Zgierz	Chrystusa Króla|ul.Słowackiego 10|95-100 Zgierz|woj. łódzkie	łódzka	Zgierz	łódzkie
Chrystusa Króla	DZIERŻONIÓW	Chrystusa Króla|ul.Nowowiejska 74 A|58-200 DZIERŻONIÓW|woj. dolnośląskie	świdnicka	Dzierżoniów-Południe	dolnośląskie
Chrystusa Króla	GŁUSZYCA	Chrystusa Króla|ul.11 Listopada 2 A|58-340 GŁUSZYCA|woj. dolnośląskie	świdnicka	Głuszyca	dolnośląskie
Chrystusa Króla	POLANICA ZDRÓJ	Chrystusa Króla|ul.Reymonta 1|57-320 POLANICA ZDRÓJ|woj. dolnośląskie	świdnicka	Polanica Zdrój	dolnośląskie
Chrystusa Króla	GOCZAŁKÓW DOLNY	Chrystusa Króla|ul.Strzegomska 20|58-152 GOCZAŁKÓW DOLNY|woj. dolnośląskie	świdnicka	Strzegom	dolnośląskie
Chrystusa Króla	OSTRÓDA	Chrystusa Króla|ul.Jagiellończyka 18a|14-200 OSTRÓDA|woj. warmińsko-mazurskie	bizantyjska przemysko-warszawska	Elbląg	warmińsko-mazurskie
Chrystusa Króla	ORNETA	Chrystusa Króla|ul.Młynarska|11-500 ORNETA|woj. warmińsko-mazurskie	bizantyjska przemysko-warszawska	Olsztyn	warmińsko-mazurskie
Chrystusa Króla	Dąbrowa Górnicza	Chrystusa Króla|ul. Jana Ziemby 1|41-300 Dąbrowa Górnicza	sosnowiecka	Dąbrowa Górnicza-NMP Anielskiej	
Chrystusa Króla	Sosnowiec - Klimontów	Chrystusa Króla|ul.Kraszewskiego 25|41-218 Sosnowiec - Klimontów	sosnowiecka	Sosnowiec-Chrystusa Króla	
Chrystusa Króla	Ogrodniki	Chrystusa Króla|Ogrodniki 53|07-132 Ogrodniki|woj. mazowieckie	drohiczyńska	Łochów	mazowieckie
Chrystusa Króla	Hołdunów	Chrystusa Króla|ul. Lewandowskiej 42a|43-143 Hołdunów|woj. śląskie	katowicka	Bieruń	śląskie
Chrystusa Króla	Golejów	Chrystusa Króla|ul. KEN 15|44-207 Golejów|woj. śląskie	katowicka	Golejów	śląskie
Chrystusa Króla	Balin	Chrystusa Króla|Balin 756|32-500 Balin|woj. małopolskie	krakowska	Chrzanów	małopolskie
Chrystusa Króla	Trawniki	Chrystusa Króla|21-044 Trawniki|woj. lubelskie	lubelska	Piaski	lubelskie
Chrystusa Króla	Węgój	Chrystusa Króla|Węgoj 60|11-300 Węgój|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Biskupiec Reszelski	warmińsko-mazurskie
Chrystusa Króla	Wigwałd	Chrystusa Króla|Wigwałd 8|11-015 Wigwałd|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztynek	warmińsko-mazurskie
Chrystusa Króla	Sątoczno	Chrystusa Króla|Sątoczno 1/2|11-431 Sątoczno	warmińska (olsztyńska)	Sępopol	
Chrystusa Króla	Szczytno	Chrystusa Króla|ul. Tuwima 38|12-100 Szczytno|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Szczytno	warmińsko-mazurskie
Chrystusa Króla	Kadłub	Chrystusa Króla|ul. Powstańców Śląskich 3a|47-175 Kadłub|woj. opolskie	opolska	Strzelce Opolskie	opolskie
Chrystusa Króla	Bojanów	Chrystusa Króla|ul. Raciborska 12|47-470 Bojanów|woj. śląskie	opolska	Tworków	śląskie
Chrystusa Króla	Kołczygłowy	Chrystusa Króla|ul. Słupska 16|77-140 Kołczygłowy|woj. pomorskie	pelplińska	Bytów	pomorskie
Chrystusa Króla	Kęsowo-Jeleńcz	Chrystusa Króla|ul. Szkolna 10|89-506 Kęsowo-Jeleńcz|woj. kujawsko-pomorskie	pelplińska	Kamień Krajeński	kujawsko-pomorskie
Chrystusa Króla	Świecie n. Wisłą	Chrystusa Króla|ul. Tucholska 1|86-103 Świecie n. Wisłą	pelplińska	Świecie	
Chrystusa Króla	Bolewice	Chrystusa Króla|ul. Świebodzińska 25|63-305 Bolewice	poznańska	Lwówek	
Chrystusa Króla	Łańcut	Chrystusa Króla|Skotnik 19|37-100 Łańcut|woj. podkarpackie	przemyska (łac)	Łańcut II	podkarpackie
Chrystusa Króla	Jedlanka	Chrystusa Króla|ul. Ks. Leszkiewicza 4|21-440 Jedlanka	siedlecka	Łuków II	
Chrystusa Króla	Międzyrzec Podlaski	Chrystusa Króla|ul. Kard. Stefana Wyszyńskiego 4|21-560 Międzyrzec Podlaski|woj. lubelskie	siedlecka	Międzyrzec Podlaski	lubelskie
Chrystusa Króla	Lubanowo	Chrystusa Króla|Lubanowo 44|74-111 Lubanowo|woj. zachodniopomorskie	szczecińsko-kamieńska	Banie	zachodniopomorskie
Chrystusa Króla	Jesionowo	Chrystusa Króla|74-210 Jesionowo|woj. zachodniopomorskie	szczecińsko-kamieńska	Barlinek	zachodniopomorskie
Chrystusa Króla	Dolice	Chrystusa Króla|ul. Kolejowa 2|73-115 Dolice|woj. zachodniopomorskie	szczecińsko-kamieńska	Choszczno	zachodniopomorskie
Chrystusa Króla	Recz	Chrystusa Króla|ul. Ratuszowa 19|73-210 Recz|woj. zachodniopomorskie	szczecińsko-kamieńska	Choszczno	zachodniopomorskie
Chrystusa Króla	Kozielice	Chrystusa Króla|Kozielice|72-410 Kozielice|woj. zachodniopomorskie	szczecińsko-kamieńska	Golczewo	zachodniopomorskie
Chrystusa Króla	Sikorki	Chrystusa Króla|Sikorki|72-200 Sikorki|woj. zachodniopomorskie	szczecińsko-kamieńska	Golczewo	zachodniopomorskie
Chrystusa Króla	Witnica Chojeńska	Chrystusa Króla|Witnica Moryńska 1a|74-503 Witnica Chojeńska|woj. zachodniopomorskie	szczecińsko-kamieńska	Mieszkowice	zachodniopomorskie
Chrystusa Króla	Szczecin	Chrystusa Króla|ul. Inwalidzka 15|71-880 Szczecin|woj. zachodniopomorskie	szczecińsko-kamieńska	Szczecin-Żelechowo	zachodniopomorskie
Chrystusa Króla	Gosław	Chrystusa Króla|Gosław 77|72-320 Gosław|woj. zachodniopomorskie	szczecińsko-kamieńska	Trzebiatów	zachodniopomorskie
Chrystusa Króla	Żarnowo	Chrystusa Króla|ul. Kościelna 23|72-111 Żarnowo|woj. zachodniopomorskie	szczecińsko-kamieńska	Wolin	zachodniopomorskie
Chrystusa Króla	Włocławek	Chrystusa Króla|ul. Siewna 6|87-800 Włocławek|woj. kujawsko-pomorskie	włocławska	Włocławek I	kujawsko-pomorskie
Chrystusa Króla i Błogoslawionego Ojca Daniela Brottier	Chojnice	Chrystusa Króla i Błogoslawionego Ojca Daniela Brottier|ul. Ducha Świętego 4|89-600 Chojnice|woj. pomorskie	pelplińska	Chojnice	pomorskie
Chrystusa Króla i Matki Boskiej Częstochowskiej	Trzciana-Zawadka	Chrystusa Króla i Matki Boskiej Częstochowskiej|Trzciana–Zawadka Rymanowska|38-450 Trzciana-Zawadka|woj. podkarpackie	przemyska (łac)	Dukla	podkarpackie
Chrystusa Króla i Zwiastowania NMP	Rawicz	Chrystusa Króla i Zwiastowania NMP|ul. Kard. S. Wyszyńskiego 10|63-900 Rawicz|woj. wielkopolskie	poznańska	Rawicz	wielkopolskie
Chrystusa Króla Jedynego Zbawiciela Świata	Sandomierz	Chrystusa Króla Jedynego Zbawiciela Świata|ul. Dobkiewicza 12|27-600 Sandomierz|woj. świętokrzyskie	sandomierska	Sandomierz	świętokrzyskie
Chrystusa Króla Wszechświata	Iława	Chrystusa Króla Wszechświata|ul. Ostródzka 44|14-200 Iława|woj. warmińsko-mazurskie	elbląska	IŁAWA - WSCHÓD	warmińsko-mazurskie
Chrystusa Króla Wszechświata	Krzemieniowo	Chrystusa Króla Wszechświata|Krzemieniewo 18|77-330 Krzemieniowo|woj. pomorskie	koszlińsko-kołobrzeska	Czarne	pomorskie
Chrystusa Króla Wszechświata	Stargard	Chrystusa Króla Wszechświata|ul. Nowakowskiego 2|73-110 Stargard	szczecińsko-kamieńska	Stargard Wschód	
Chrystusa Króla Wszechświata	Dołuje	Chrystusa Króla Wszechświata|ul. Daniela 18|72-002 Dołuje|woj. zachodniopomorskie	szczecińsko-kamieńska	Szczecin-Pogodno	zachodniopomorskie
Chrystusa Króla Wszechświata	Wola Przemykowska	Chrystusa Króla Wszechświata|Wola Przemykowska 102|32-821 Wola Przemykowska|woj. małopolskie	tarnowska	Radłów	małopolskie
Chrystusa Króla Wszechświata	Piastów	Chrystusa Króla Wszechświata|ul. Ogińskiego 17|05-820 Piastów|woj. mazowieckie	warszawska	Pruszków	mazowieckie
Chrystusa Króla Wszechświata	KOLNO	Chrystusa Króla Wszechświata|ul.Ks.J.L.Grajewskiego 2|18-500 KOLNO|woj. podlaskie	łomżyńska	Kolno	podlaskie
Chrystusa Króla Wszechświata	ŁYSE	Chrystusa Króla Wszechświata|ul.Kościelna 18|07-437 ŁYSE|woj. mazowieckie	łomżyńska	Myszyniec	mazowieckie
Chrystusa Króla Wszechświata	KAZUŃ NOWY	Chrystusa Króla Wszechświata|2 Mazowiecka Brygada Saperów|05-154 KAZUŃ NOWY	ordynariat polowy	Pomorski Okręg Wojskowy	
Chrystusa Króla Wszechświata	Ostrzeszów	Chrystusa Króla Wszechświata|Ostrzeszów|woj. wielkopolskie	kaliska		wielkopolskie
Chrystusa Króla Wszechświata	Borowo	Chrystusa Króla Wszechświata|Borowo ul. Gdańska 8|83-332 Borowo|woj. pomorskie	pelplińska	Kartuzy	pomorskie
Chrystusa Króla Wszechświata	Łubno Opace	Chrystusa Króla Wszechświata|Łubno Opace 5|38-204 Łubno Opace|woj. podkarpackie	przemyska (łac)	Krosno III	podkarpackie
Chrystusa Króla * KATEDRA	Katowice	Chrystusa Króla * KATEDRA|ul. Plebiscytowa 49 a|40-041 Katowice|woj. śląskie	katowicka	Katowice Śródmieście	śląskie
Chrystusa Miłosiernego	Gdynia	Chrystusa Miłosiernego|Gdynia Redłowo ul. Kopernika 75|81-456 Gdynia|woj. pomorskie	gdańska	Gdynia Orłowo	pomorskie
Chrystusa Miłosiernego	Inowrocław	Chrystusa Miłosiernego|Al. 800-lecia 23|88-106 Inowrocław|woj. kujawsko-pomorskie	gnieźnieńska	inowrocławski I	kujawsko-pomorskie
Chrystusa Miłosiernego	Chojnice	Chrystusa Miłosiernego|ul. Rzepakowa 8/16|89-600 Chojnice|woj. pomorskie	pelplińska	Chojnice	pomorskie
Chrystusa Miłosiernego	Liniewo	Chrystusa Miłosiernego|ul. Wyzwolenia 23 A|83-420 Liniewo|woj. pomorskie	pelplińska	Skarszewy	pomorskie
Chrystusa Miłosiernego	Biała Podlaska	Chrystusa Miłosiernego|ul. kard. S. Wyszyńskiego 53/55|21-500 Biała Podlaska|woj. lubelskie	siedlecka	Biała Podlaska-Południe	lubelskie
Chrystusa Miłosiernego	Urszulin	Chrystusa Miłosiernego|ul. Lubelska 4|22-234 Urszulin|woj. lubelskie	siedlecka	Hańsk	lubelskie
Chrystusa Miłosiernego	Dęblin	Chrystusa Miłosiernego|ul. Wiślana 69|08-530 Dęblin|woj. lubelskie	siedlecka	Ryki	lubelskie
Chrystusa Miłosiernego	Zabraniec	Chrystusa Miłosiernego|Zabraniec 1|05-079 Zabraniec|woj. mazowieckie	warszawsko-praska	Sulejówek	mazowieckie
Chrystusa Najwyższego Kapłana	Poznań	Chrystusa Najwyższego Kapłana|os. Lecha 44|61-293 Poznań|woj. wielkopolskie	poznańska	Poznań-Rataje	wielkopolskie
Chrystusa Nauczyciela	Ostrowiec Świętokrzyski	Chrystusa Nauczyciela|ul. Długa 72|27-400 Ostrowiec Świętokrzyski|woj. świętokrzyskie	sandomierska	Ostrowiec Świętokrzyski	świętokrzyskie
Chrystusa Nauczyciela	Radom	Chrystusa Nauczyciela|ul. Chałubińskiego 15|26-600 Radom|woj. mazowieckie	radomska	Radom-Południe	mazowieckie
Chrystusa Odkupiciela	Gdańsk	Chrystusa Odkupiciela|Gdańsk Żabianka ul. Gdyńska 8|80-340 Gdańsk|woj. pomorskie	gdańska	Gdańsk Przymorze	pomorskie
Chrystusa Odkupiciela	Nowiny	Chrystusa Odkupiciela|ul. Przemysłowa 2|26-052 Nowiny|woj. świętokrzyskie	kielecka	Kielce-Południe	świętokrzyskie
Chrystusa Odkupiciela	Chełm	Chrystusa Odkupiciela|ul. Ks. M. Mrozka 2|22-100 Chełm|woj. lubelskie	lubelska	Chełm Wschód	lubelskie
Chrystusa Odkupiciela	Świdnik	Chrystusa Odkupiciela|ul. Kosynierów 6|21-040 Świdnik|woj. lubelskie	lubelska	Świdnik	lubelskie
Chrystusa Odkupiciela	Poznań	Chrystusa Odkupiciela|ul. Trzemeszeńska 20|61-038 Poznań|woj. wielkopolskie	poznańska	Poznań-Nowe Miasto	wielkopolskie
Chrystusa Odkupiciela	Końskie	Chrystusa Odkupiciela|ul. Gimnazjalna 14|26-200 Końskie|woj. świętokrzyskie	radomska	Końskie	świętokrzyskie
Chrystusa Odkupiciela	Rzepin	Chrystusa Odkupiciela|Rzepin Drugi 153b|27-225 Rzepin|woj. świętokrzyskie	radomska	Starachowice-Południe	świętokrzyskie
Chrystusa Odkupiciela	Łódź	Chrystusa Odkupiciela|ul. Żubardzka 28|91-022 Łódź|woj. łódzkie	łódzka	Łódź-Żubardź	łódzkie
Chrystusa Odkupiciela Człowieka	Kraków	Chrystusa Odkupiciela Człowieka|ul. Generała Kiwerskiego 2|31-341 Kraków|woj. małopolskie	krakowska	Kraków-Krowodrza	małopolskie
Chrystusa Odkupiciela Człowieka	Olsztyn	Chrystusa Odkupiciela Człowieka|ul. Kard. Wyszyńskiego 11|10-456 Olsztyn	warmińska (olsztyńska)	Olsztyn V - Kormoran	
Chrystusa Odkupiciela i Najświętszego Imienia Maryji	SIERADZ	Chrystusa Odkupiciela i Najświętszego Imienia Maryji|ul.Kościuszki 19|98-200 SIERADZ|woj. łódzkie	ordynariat polowy	Garnizon Warszawa	łódzkie
Chrystusa Pana Zbawiciela	Podgórze	Chrystusa Pana Zbawiciela|22-151 Podgórze|woj. lubelskie	lubelska	Chełm Zachód	lubelskie
Chrystusa Sługi	Ełk	Chrystusa Sługi|ul. Grota Roweckiego 5a|19-300 Ełk|woj. warmińsko-mazurskie	ełcka	Ełk - Miłosierdzia Bożego	warmińsko-mazurskie
Chrystusa Sługi	Poznań	Chrystusa Sługi|ul. M. Palacza 7|60-242 Poznań|woj. wielkopolskie	poznańska	Poznań-Łazarz	wielkopolskie
Chrystusa Sługi	LESZCZYDÓŁ NOWINY	Chrystusa Sługi|Leszczydół Nowinyul.Szkolna 56|07-200 LESZCZYDÓŁ NOWINY|woj. mazowieckie	łomżyńska	Wyszków	mazowieckie
Chrystusa Światłości Świata	Majków	Chrystusa Światłości Świata|Majków 40|26-110 Majków|woj. świętokrzyskie	radomska	Skarżysko Kamienna	świętokrzyskie
Chrystusa Wieczystego Kapłana	Gniezno	Chrystusa Wieczystego Kapłana|ul. 28 Grudnia 12|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >1<	wielkopolskie
Chrystusa Zbawiciela	Wydminy	Chrystusa Zbawiciela|ul. Grunwaldzka 41|11-510 Wydminy|woj. warmińsko-mazurskie	ełcka	Giżycko - św. Krzysztofa	warmińsko-mazurskie
Chrystusa Zbawiciela	Gdańsk	Chrystusa Zbawiciela|Gdańsk Osowa ul. Pegaza 15|80-299 Gdańsk|woj. pomorskie	gdańska	Gdańsk Oliwa	pomorskie
Chrystusa Zbawiciela	Przasnysz	Chrystusa Zbawiciela|al. Jana Pawła II 10|06-300 Przasnysz|woj. mazowieckie	płocka	Przasnysz	mazowieckie
Ciała i Krwi Pańskiej	Mysłowice Ławki	Ciała i Krwi Pańskiej|ul. Murckowska 147|41-408 Mysłowice Ławki|woj. śląskie	katowicka	Mysłowice	śląskie
